Liczba pokoi,Powierzchnia,Cena za metr kwadratowy,Piętro,Dzielnica
2 pokoje,41.36 m²,18 980 zł/m²,4 piętro,Prądnik Biały
3 pokoje,52.34 m²,13 947 zł/m²,2 piętro,Prądnik Czerwony
3 pokoje,106.8 m²,8193 zł/m²,parter,Swoszowice
2 pokoje,49 m²,14 694 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,82.2 m²,13 990 zł/m²,8 piętro,Grzegórzki
1 pokój,37.64 m²,14 612 zł/m²,5 piętro,Nowa Huta
2 pokoje,33.27 m²,15 927 zł/m²,2 piętro,Nowa Huta
2 pokoje,47.18 m²,17 380 zł/m²,2 piętro,Dębniki
4 pokoje,73.43 m²,16 275 zł/m²,2 piętro,Bronowice
1 pokój,33 m²,18 152 zł/m²,parter,Czyżyny
4 pokoje,102.72 m²,12 558 zł/m²,N/A,Prądnik Biały
3 pokoje,56.19 m²,15 821 zł/m²,1 piętro,Prądnik Biały
3 pokoje,59 m²,22 034 zł/m²,3 piętro,Podgórze
1 pokój,33.81 m²,15 972 zł/m²,1 piętro,Bieżanów-Prokocim
2 pokoje,44.1 m²,14 739 zł/m²,6 piętro,Grzegórzki
3 pokoje,66.5 m²,16 541 zł/m²,1 piętro,Prądnik Biały
3 pokoje,64.85 m²,12 250 zł/m²,3 piętro,Mistrzejowice
2 pokoje,115.29 m²,6462 zł/m²,1 piętro,Dębniki
4 pokoje,95.64 m²,10 308 zł/m²,4 piętro,Wzgórza Krzesławickie
3 pokoje,77.3 m²,17 750 zł/m²,parter,Krowodrza
4 pokoje,66.22 m²,15 200 zł/m²,2 piętro,Dębniki
2 pokoje,52 m²,24 019 zł/m²,parter,Krowodrza
2 pokoje,41.3 m²,15 956 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69 m²,18 833 zł/m²,5 piętro,Czyżyny
2 pokoje,44.23 m²,15 125 zł/m²,parter,Prądnik Czerwony
4 pokoje,69 m²,14 768 zł/m²,4 piętro,Prądnik Czerwony
3 pokoje,44 m²,14 750 zł/m²,parter,Bronowice
3 pokoje,87.35 m²,17 745 zł/m²,1 piętro,Dębniki
3 pokoje,60.28 m²,15 900 zł/m²,4 piętro,Bieżanów-Prokocim
2 pokoje,48.46 m²,18 551 zł/m²,parter,Podgórze
4 pokoje,141.91 m²,12 684 zł/m²,parter,Dębniki
4 pokoje,87.78 m²,13 335 zł/m²,2 piętro,Podgórze Duchackie
3 pokoje,57.68 m²,16 453 zł/m²,parter,Krowodrza
2 pokoje,42.44 m²,13 176 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69.12 m²,14 453 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,44.37 m²,21 073 zł/m²,4 piętro,Krowodrza
2 pokoje,40.37 m²,16 480 zł/m²,1 piętro,Krowodrza
3 pokoje,65.8 m²,19 453 zł/m²,7 piętro,Podgórze Duchackie
3 pokoje,53 m²,19 811 zł/m²,2 piętro,Krowodrza
3 pokoje,54.61 m²,14 900 zł/m²,parter,Prądnik Biały
3 pokoje,72 m²,19 167 zł/m²,5 piętro,Czyżyny
3 pokoje,56.54 m²,15 290 zł/m²,1 piętro,Bieńczyce
5 pokoi,94.1 m²,15 409 zł/m²,4 piętro,Dębniki
5 pokoi,103.69 m²,9588 zł/m²,2 piętro,Podgórze
4 pokoje,75.51 m²,13 892 zł/m²,1 piętro,Podgórze Duchackie
2 pokoje,36 m²,16 528 zł/m²,9 piętro,Podgórze Duchackie
2 pokoje,34 m²,12 324 zł/m²,4 piętro,Bieżanów-Prokocim
4 pokoje,82.27 m²,12 143 zł/m²,2 piętro,Mistrzejowice
2 pokoje,40.75 m²,N/A,parter,Dębniki
10+ pokoi,416.47 m²,18 489 zł/m²,10+ piętro,Krowodrza
2 pokoje,38.35 m²,15 098 zł/m²,3 piętro,Prądnik Czerwony
2 pokoje,43.6 m²,12 500 zł/m²,3 piętro,Prądnik Czerwony
3 pokoje,58.19 m²,14 100 zł/m²,1 piętro,Bieżanów-Prokocim
1 pokój,30.1 m²,14 618 zł/m²,parter,Bieżanów-Prokocim
3 pokoje,57 m²,14 175 zł/m²,1 piętro,Dębniki
3 pokoje,57.11 m²,14 950 zł/m²,1 piętro,Prądnik Biały
3 pokoje,54.2 m²,N/A,2 piętro,Prądnik Biały
4 pokoje,67.2 m²,N/A,parter,Dębniki
2 pokoje,40 m²,18 500 zł/m²,parter,Prądnik Biały
1 pokój,34.76 m²,N/A,parter,Łagiewniki-Borek Fałęcki
1 pokój,27 m²,18 481 zł/m²,parter,Krowodrza
2 pokoje,40.1 m²,13 716 zł/m²,parter,Nowa Huta
2 pokoje,46.57 m²,N/A,1 piętro,Dębniki
1 pokój,33.72 m²,N/A,1 piętro,Dębniki
2 pokoje,51 m²,16 951 zł/m²,parter,Nowa Huta
2 pokoje,49 m²,14 694 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,82.2 m²,13 990 zł/m²,8 piętro,Grzegórzki
1 pokój,37.64 m²,14 612 zł/m²,5 piętro,Nowa Huta
2 pokoje,33.27 m²,15 927 zł/m²,2 piętro,Nowa Huta
2 pokoje,47.18 m²,17 380 zł/m²,2 piętro,Dębniki
4 pokoje,73.43 m²,16 275 zł/m²,2 piętro,Bronowice
1 pokój,33 m²,18 152 zł/m²,parter,Czyżyny
4 pokoje,102.72 m²,12 558 zł/m²,N/A,Prądnik Biały
3 pokoje,56.19 m²,15 821 zł/m²,1 piętro,Prądnik Biały
3 pokoje,59 m²,22 034 zł/m²,3 piętro,Podgórze
1 pokój,33.81 m²,15 972 zł/m²,1 piętro,Bieżanów-Prokocim
2 pokoje,44.1 m²,14 739 zł/m²,6 piętro,Grzegórzki
3 pokoje,66.5 m²,16 541 zł/m²,1 piętro,Prądnik Biały
3 pokoje,64.85 m²,12 250 zł/m²,3 piętro,Mistrzejowice
2 pokoje,115.29 m²,6462 zł/m²,1 piętro,Dębniki
4 pokoje,95.64 m²,10 308 zł/m²,4 piętro,Wzgórza Krzesławickie
3 pokoje,77.3 m²,17 750 zł/m²,parter,Krowodrza
4 pokoje,66.22 m²,15 200 zł/m²,2 piętro,Dębniki
2 pokoje,52 m²,24 019 zł/m²,parter,Krowodrza
2 pokoje,41.3 m²,15 956 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69 m²,18 833 zł/m²,5 piętro,Czyżyny
2 pokoje,44.23 m²,15 125 zł/m²,parter,Prądnik Czerwony
4 pokoje,69 m²,14 768 zł/m²,4 piętro,Prądnik Czerwony
3 pokoje,44 m²,14 750 zł/m²,parter,Bronowice
3 pokoje,87.35 m²,17 745 zł/m²,1 piętro,Dębniki
3 pokoje,60.28 m²,15 900 zł/m²,4 piętro,Bieżanów-Prokocim
2 pokoje,48.46 m²,18 551 zł/m²,parter,Podgórze
4 pokoje,141.91 m²,12 684 zł/m²,parter,Dębniki
4 pokoje,87.78 m²,13 335 zł/m²,2 piętro,Podgórze Duchackie
3 pokoje,57.68 m²,16 453 zł/m²,parter,Krowodrza
2 pokoje,42.44 m²,13 176 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69.12 m²,14 453 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,44.37 m²,21 073 zł/m²,4 piętro,Krowodrza
2 pokoje,40.37 m²,16 480 zł/m²,1 piętro,Krowodrza
3 pokoje,65.8 m²,19 453 zł/m²,7 piętro,Podgórze Duchackie
3 pokoje,53 m²,19 811 zł/m²,2 piętro,Krowodrza
3 pokoje,54.61 m²,14 900 zł/m²,parter,Prądnik Biały
3 pokoje,72 m²,19 167 zł/m²,5 piętro,Czyżyny
3 pokoje,56.54 m²,15 290 zł/m²,1 piętro,Bieńczyce
5 pokoi,94.1 m²,15 409 zł/m²,4 piętro,Dębniki
5 pokoi,103.69 m²,9588 zł/m²,2 piętro,Podgórze
4 pokoje,75.51 m²,13 892 zł/m²,1 piętro,Podgórze Duchackie
2 pokoje,36 m²,16 528 zł/m²,9 piętro,Podgórze Duchackie
2 pokoje,34 m²,12 324 zł/m²,4 piętro,Bieżanów-Prokocim
4 pokoje,82.27 m²,12 143 zł/m²,2 piętro,Mistrzejowice
2 pokoje,40.75 m²,N/A,parter,Dębniki
10+ pokoi,416.47 m²,18 489 zł/m²,10+ piętro,Krowodrza
2 pokoje,38.35 m²,15 098 zł/m²,3 piętro,Prądnik Czerwony
2 pokoje,43.6 m²,12 500 zł/m²,3 piętro,Prądnik Czerwony
3 pokoje,58.19 m²,14 100 zł/m²,1 piętro,Bieżanów-Prokocim
1 pokój,30.1 m²,14 618 zł/m²,parter,Bieżanów-Prokocim
3 pokoje,57 m²,14 175 zł/m²,1 piętro,Dębniki
3 pokoje,57.11 m²,14 950 zł/m²,1 piętro,Prądnik Biały
3 pokoje,54.2 m²,N/A,2 piętro,Prądnik Biały
4 pokoje,67.2 m²,N/A,parter,Dębniki
2 pokoje,40 m²,18 500 zł/m²,parter,Prądnik Biały
1 pokój,34.76 m²,N/A,parter,Łagiewniki-Borek Fałęcki
1 pokój,27 m²,18 481 zł/m²,parter,Krowodrza
2 pokoje,40.1 m²,13 716 zł/m²,parter,Nowa Huta
2 pokoje,48.5 m²,16 433 zł/m²,2 piętro,Stare Miasto
1 pokój,23.76 m²,18 056 zł/m²,7 piętro,Bieńczyce
2 pokoje,40 m²,18 500 zł/m²,parter,Prądnik Biały
2 pokoje,49 m²,14 694 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,82.2 m²,13 990 zł/m²,8 piętro,Grzegórzki
1 pokój,37.64 m²,14 612 zł/m²,5 piętro,Nowa Huta
2 pokoje,33.27 m²,15 927 zł/m²,2 piętro,Nowa Huta
2 pokoje,47.18 m²,17 380 zł/m²,2 piętro,Dębniki
4 pokoje,73.43 m²,16 275 zł/m²,2 piętro,Bronowice
1 pokój,33 m²,18 152 zł/m²,parter,Czyżyny
4 pokoje,102.72 m²,12 558 zł/m²,N/A,Prądnik Biały
3 pokoje,56.19 m²,15 821 zł/m²,1 piętro,Prądnik Biały
3 pokoje,59 m²,22 034 zł/m²,3 piętro,Podgórze
1 pokój,33.81 m²,15 972 zł/m²,1 piętro,Bieżanów-Prokocim
2 pokoje,44.1 m²,14 739 zł/m²,6 piętro,Grzegórzki
3 pokoje,66.5 m²,16 541 zł/m²,1 piętro,Prądnik Biały
3 pokoje,64.85 m²,12 250 zł/m²,3 piętro,Mistrzejowice
2 pokoje,115.29 m²,6462 zł/m²,1 piętro,Dębniki
4 pokoje,95.64 m²,10 308 zł/m²,4 piętro,Wzgórza Krzesławickie
3 pokoje,77.3 m²,17 750 zł/m²,parter,Krowodrza
4 pokoje,66.22 m²,15 200 zł/m²,2 piętro,Dębniki
2 pokoje,52 m²,24 019 zł/m²,parter,Krowodrza
2 pokoje,41.3 m²,15 956 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69 m²,18 833 zł/m²,5 piętro,Czyżyny
2 pokoje,44.23 m²,15 125 zł/m²,parter,Prądnik Czerwony
4 pokoje,69 m²,14 768 zł/m²,4 piętro,Prądnik Czerwony
3 pokoje,44 m²,14 750 zł/m²,parter,Bronowice
3 pokoje,87.35 m²,17 745 zł/m²,1 piętro,Dębniki
3 pokoje,60.28 m²,15 900 zł/m²,4 piętro,Bieżanów-Prokocim
2 pokoje,48.46 m²,18 551 zł/m²,parter,Podgórze
4 pokoje,141.91 m²,12 684 zł/m²,parter,Dębniki
4 pokoje,87.78 m²,13 335 zł/m²,2 piętro,Podgórze Duchackie
3 pokoje,57.68 m²,16 453 zł/m²,parter,Krowodrza
2 pokoje,42.44 m²,13 176 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69.12 m²,14 453 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,44.37 m²,21 073 zł/m²,4 piętro,Krowodrza
2 pokoje,40.37 m²,16 480 zł/m²,1 piętro,Krowodrza
3 pokoje,65.8 m²,19 453 zł/m²,7 piętro,Podgórze Duchackie
3 pokoje,53 m²,19 811 zł/m²,2 piętro,Krowodrza
3 pokoje,54.61 m²,14 900 zł/m²,parter,Prądnik Biały
3 pokoje,72 m²,19 167 zł/m²,5 piętro,Czyżyny
3 pokoje,56.54 m²,15 290 zł/m²,1 piętro,Bieńczyce
5 pokoi,94.1 m²,15 409 zł/m²,4 piętro,Dębniki
5 pokoi,103.69 m²,9588 zł/m²,2 piętro,Podgórze
4 pokoje,75.51 m²,13 892 zł/m²,1 piętro,Podgórze Duchackie
2 pokoje,36 m²,16 528 zł/m²,9 piętro,Podgórze Duchackie
2 pokoje,34 m²,12 324 zł/m²,4 piętro,Bieżanów-Prokocim
4 pokoje,82.27 m²,12 143 zł/m²,2 piętro,Mistrzejowice
2 pokoje,40.75 m²,N/A,parter,Dębniki
10+ pokoi,416.47 m²,18 489 zł/m²,10+ piętro,Krowodrza
2 pokoje,38.35 m²,15 098 zł/m²,3 piętro,Prądnik Czerwony
2 pokoje,43.6 m²,12 500 zł/m²,3 piętro,Prądnik Czerwony
3 pokoje,58.19 m²,14 100 zł/m²,1 piętro,Bieżanów-Prokocim
1 pokój,30.1 m²,14 618 zł/m²,parter,Bieżanów-Prokocim
3 pokoje,57 m²,14 175 zł/m²,1 piętro,Dębniki
3 pokoje,57.11 m²,14 950 zł/m²,1 piętro,Prądnik Biały
3 pokoje,54.2 m²,N/A,2 piętro,Prądnik Biały
4 pokoje,67.2 m²,N/A,parter,Dębniki
2 pokoje,40 m²,18 500 zł/m²,parter,Prądnik Biały
1 pokój,34.76 m²,N/A,parter,Łagiewniki-Borek Fałęcki
1 pokój,27 m²,18 481 zł/m²,parter,Krowodrza
2 pokoje,40.1 m²,13 716 zł/m²,parter,Nowa Huta
3 pokoje,49.19 m²,16 000 zł/m²,parter,Prądnik Biały
2 pokoje,56 m²,15 000 zł/m²,1 piętro,Bronowice
3 pokoje,52 m²,11 346 zł/m²,1 piętro,Wieliczka
2 pokoje,49 m²,14 694 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,82.2 m²,13 990 zł/m²,8 piętro,Grzegórzki
1 pokój,37.64 m²,14 612 zł/m²,5 piętro,Nowa Huta
2 pokoje,33.27 m²,15 927 zł/m²,2 piętro,Nowa Huta
2 pokoje,47.18 m²,17 380 zł/m²,2 piętro,Dębniki
4 pokoje,73.43 m²,16 275 zł/m²,2 piętro,Bronowice
1 pokój,33 m²,18 152 zł/m²,parter,Czyżyny
4 pokoje,102.72 m²,12 558 zł/m²,N/A,Prądnik Biały
3 pokoje,56.19 m²,15 821 zł/m²,1 piętro,Prądnik Biały
3 pokoje,59 m²,22 034 zł/m²,3 piętro,Podgórze
1 pokój,33.81 m²,15 972 zł/m²,1 piętro,Bieżanów-Prokocim
2 pokoje,44.1 m²,14 739 zł/m²,6 piętro,Grzegórzki
3 pokoje,66.5 m²,16 541 zł/m²,1 piętro,Prądnik Biały
3 pokoje,64.85 m²,12 250 zł/m²,3 piętro,Mistrzejowice
2 pokoje,115.29 m²,6462 zł/m²,1 piętro,Dębniki
4 pokoje,95.64 m²,10 308 zł/m²,4 piętro,Wzgórza Krzesławickie
3 pokoje,77.3 m²,17 750 zł/m²,parter,Krowodrza
4 pokoje,66.22 m²,15 200 zł/m²,2 piętro,Dębniki
2 pokoje,52 m²,24 019 zł/m²,parter,Krowodrza
2 pokoje,41.3 m²,15 956 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69 m²,18 833 zł/m²,5 piętro,Czyżyny
2 pokoje,44.23 m²,15 125 zł/m²,parter,Prądnik Czerwony
4 pokoje,69 m²,14 768 zł/m²,4 piętro,Prądnik Czerwony
3 pokoje,44 m²,14 750 zł/m²,parter,Bronowice
3 pokoje,87.35 m²,17 745 zł/m²,1 piętro,Dębniki
3 pokoje,60.28 m²,15 900 zł/m²,4 piętro,Bieżanów-Prokocim
2 pokoje,48.46 m²,18 551 zł/m²,parter,Podgórze
4 pokoje,141.91 m²,12 684 zł/m²,parter,Dębniki
4 pokoje,87.78 m²,13 335 zł/m²,2 piętro,Podgórze Duchackie
3 pokoje,57.68 m²,16 453 zł/m²,parter,Krowodrza
2 pokoje,42.44 m²,13 176 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69.12 m²,14 453 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,44.37 m²,21 073 zł/m²,4 piętro,Krowodrza
2 pokoje,40.37 m²,16 480 zł/m²,1 piętro,Krowodrza
3 pokoje,65.8 m²,19 453 zł/m²,7 piętro,Podgórze Duchackie
3 pokoje,53 m²,19 811 zł/m²,2 piętro,Krowodrza
3 pokoje,54.61 m²,14 900 zł/m²,parter,Prądnik Biały
3 pokoje,72 m²,19 167 zł/m²,5 piętro,Czyżyny
3 pokoje,56.54 m²,15 290 zł/m²,1 piętro,Bieńczyce
5 pokoi,94.1 m²,15 409 zł/m²,4 piętro,Dębniki
5 pokoi,103.69 m²,9588 zł/m²,2 piętro,Podgórze
4 pokoje,75.51 m²,13 892 zł/m²,1 piętro,Podgórze Duchackie
2 pokoje,36 m²,16 528 zł/m²,9 piętro,Podgórze Duchackie
2 pokoje,34 m²,12 324 zł/m²,4 piętro,Bieżanów-Prokocim
4 pokoje,82.27 m²,12 143 zł/m²,2 piętro,Mistrzejowice
2 pokoje,40.75 m²,N/A,parter,Dębniki
10+ pokoi,416.47 m²,18 489 zł/m²,10+ piętro,Krowodrza
2 pokoje,38.35 m²,15 098 zł/m²,3 piętro,Prądnik Czerwony
2 pokoje,43.6 m²,12 500 zł/m²,3 piętro,Prądnik Czerwony
3 pokoje,58.19 m²,14 100 zł/m²,1 piętro,Bieżanów-Prokocim
1 pokój,30.1 m²,14 618 zł/m²,parter,Bieżanów-Prokocim
3 pokoje,57 m²,14 175 zł/m²,1 piętro,Dębniki
3 pokoje,57.11 m²,14 950 zł/m²,1 piętro,Prądnik Biały
3 pokoje,54.2 m²,N/A,2 piętro,Prądnik Biały
4 pokoje,67.2 m²,N/A,parter,Dębniki
2 pokoje,40 m²,18 500 zł/m²,parter,Prądnik Biały
1 pokój,34.76 m²,N/A,parter,Łagiewniki-Borek Fałęcki
1 pokój,27 m²,18 481 zł/m²,parter,Krowodrza
2 pokoje,40.1 m²,13 716 zł/m²,parter,Nowa Huta
1 pokój,30.1 m²,14 618 zł/m²,parter,Bieżanów-Prokocim
5 pokoi,99.55 m²,8400 zł/m²,1 piętro,Podgórze
4 pokoje,85 m²,10 588 zł/m²,parter,Nowa Huta
2 pokoje,49 m²,14 694 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,82.2 m²,13 990 zł/m²,8 piętro,Grzegórzki
1 pokój,37.64 m²,14 612 zł/m²,5 piętro,Nowa Huta
2 pokoje,33.27 m²,15 927 zł/m²,2 piętro,Nowa Huta
2 pokoje,47.18 m²,17 380 zł/m²,2 piętro,Dębniki
4 pokoje,73.43 m²,16 275 zł/m²,2 piętro,Bronowice
1 pokój,33 m²,18 152 zł/m²,parter,Czyżyny
4 pokoje,102.72 m²,12 558 zł/m²,N/A,Prądnik Biały
3 pokoje,56.19 m²,15 821 zł/m²,1 piętro,Prądnik Biały
3 pokoje,59 m²,22 034 zł/m²,3 piętro,Podgórze
1 pokój,33.81 m²,15 972 zł/m²,1 piętro,Bieżanów-Prokocim
2 pokoje,44.1 m²,14 739 zł/m²,6 piętro,Grzegórzki
3 pokoje,66.5 m²,16 541 zł/m²,1 piętro,Prądnik Biały
3 pokoje,64.85 m²,12 250 zł/m²,3 piętro,Mistrzejowice
2 pokoje,115.29 m²,6462 zł/m²,1 piętro,Dębniki
4 pokoje,95.64 m²,10 308 zł/m²,4 piętro,Wzgórza Krzesławickie
3 pokoje,77.3 m²,17 750 zł/m²,parter,Krowodrza
4 pokoje,66.22 m²,15 200 zł/m²,2 piętro,Dębniki
2 pokoje,52 m²,24 019 zł/m²,parter,Krowodrza
2 pokoje,41.3 m²,15 956 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69 m²,18 833 zł/m²,5 piętro,Czyżyny
2 pokoje,44.23 m²,15 125 zł/m²,parter,Prądnik Czerwony
4 pokoje,69 m²,14 768 zł/m²,4 piętro,Prądnik Czerwony
3 pokoje,44 m²,14 750 zł/m²,parter,Bronowice
3 pokoje,87.35 m²,17 745 zł/m²,1 piętro,Dębniki
3 pokoje,60.28 m²,15 900 zł/m²,4 piętro,Bieżanów-Prokocim
2 pokoje,48.46 m²,18 551 zł/m²,parter,Podgórze
4 pokoje,141.91 m²,12 684 zł/m²,parter,Dębniki
4 pokoje,87.78 m²,13 335 zł/m²,2 piętro,Podgórze Duchackie
3 pokoje,57.68 m²,16 453 zł/m²,parter,Krowodrza
2 pokoje,42.44 m²,13 176 zł/m²,3 piętro,Prądnik Biały
4 pokoje,69.12 m²,14 453 zł/m²,3 piętro,Podgórze Duchackie
3 pokoje,44.37 m²,21 073 zł/m²,4 piętro,Krowodrza
2 pokoje,40.37 m²,16 480 zł/m²,1 piętro,Krowodrza
3 pokoje,65.8 m²,19 453 zł/m²,7 piętro,Podgórze Duchackie
3 pokoje,53 m²,19 811 zł/m²,2 piętro,Krowodrza
3 pokoje,54.61 m²,14 900 zł/m²,parter,Prądnik Biały
3 pokoje,72 m²,19 167 zł/m²,5 piętro,Czyżyny
3 pokoje,56.54 m²,15 290 zł/m²,1 piętro,Bieńczyce
5 pokoi,94.1 m²,15 409 zł/m²,4 piętro,Dębniki
5 pokoi,103.69 m²,9588 zł/m²,2 piętro,Podgórze
4 pokoje,75.51 m²,13 892 zł/m²,1 piętro,Podgórze Duchackie
2 pokoje,36 m²,16 528 zł/m²,9 piętro,Podgórze Duchackie
2 pokoje,34 m²,12 324 zł/m²,4 piętro,Bieżanów-Prokocim
4 pokoje,82.27 m²,12 143 zł/m²,2 piętro,Mistrzejowice
2 pokoje,40.75 m²,N/A,parter,Dębniki
10+ pokoi,416.47 m²,18 489 zł/m²,10+ piętro,Krowodrza
2 pokoje,38.35 m²,15 098 zł/m²,3 piętro,Prądnik Czerwony
2 pokoje,43.6 m²,12 500 zł/m²,3 piętro,Prądnik Czerwony
3 pokoje,58.19 m²,14 100 zł/m²,1 piętro,Bieżanów-Prokocim
1 pokój,30.1 m²,14 618 zł/m²,parter,Bieżanów-Prokocim
3 pokoje,57 m²,14 175 zł/m²,1 piętro,Dębniki
3 pokoje,57.11 m²,14 950 zł/m²,1 piętro,Prądnik Biały
3 pokoje,54.2 m²,N/A,2 piętro,Prądnik Biały
4 pokoje,67.2 m²,N/A,parter,Dębniki
2 pokoje,40 m²,18 500 zł/m²,parter,Prądnik Biały
1 pokój,34.76 m²,N/A,parter,Łagiewniki-Borek Fałęcki
1 pokój,27 m²,18 481 zł/m²,parter,Krowodrza
